ID	x		y		z
0	-0.57735	0.57735	-0.57735
1	-0.816497	0.408248	-0.408248
2	-1	0	0
3	-0.816497	-0.408248	0.408248
4	-0.57735	-0.57735	0.57735
5	-0.408248	0.816497	-0.408248
6	-0.707107	0.707107	0
7	-0.707107	0	0.707107
8	-0.408248	-0.408248	0.816497
9	0	1	0
10	0	0.707107	0.707107
11	0	0	1
12	0.408248	0.816497	0.408248
13	0.408248	0.408248	0.816497
14	0.57735	0.57735	0.57735
15	0.57735	-0.57735	-0.57735
16	0.816497	-0.408248	-0.408248
17	1	0	0
18	0.816497	0.408248	0.408248
19	0.408248	-0.408248	-0.816497
20	0.707107	0	-0.707107
21	0.707107	0.707107	0
22	0	0	-1
23	0	0.707107	-0.707107
24	-0.408248	0.408248	-0.816497
25	-0.408248	-0.816497	0.408248
26	-0.707107	-0.707107	0
27	-0.707107	0	-0.707107
28	0	-1	0
29	0	-0.707107	-0.707107
30	0.408248	-0.816497	-0.408248
31	0.707107	0	0.707107
32	0.707107	-0.707107	0
33	0	-0.707107	0.707107
